name,employer
Jimmy Bharucha,Sri Lanka Broadcasting Corporation
Jimmy George,Kerala Police
Jimmy Greeley,City Channel Dublin
Jimmy Magee,UTV
Jimmy Makar,Joe Gibbs Racing
Jo Wheeler,Sky News
Joan Lyn Slonczewski,Kenyon College
Joan Woodward,London
Joanna Yeates,Building Design Partnership
Joe Castiglione,University of Oklahoma
Joe Duffy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Joe Linsalata,American League
Joe Lockhart,Facebook
Joe Lunardi,Saint Joseph's University
Joe Lynam,BBC
Joe Mace,ITV Studios
Joe O,"Freelance journalist working for RTE, Newstalk, Today FM, The Irish Independent Newspaper, The Irish Daily Star"
Joe Paparella,American League
Joe Rue,American League
Joe Sutter,Boeing Commercial Airplanes
Joe Zias,Israel Antiquities Authority
Joey Salvia,Fox Broadcasting Company
Johan Willem Emile Louis Hilgers,Military Aviation of the Royal Netherlands East Indies Army
Johanna Wolf,Adolf Hitler
Johannes Irgens,Ministry of Foreign Affairs (Norway)
John  Dau (Dhieu-Deng Leek),John Dau Foundation
John A. Canning Jr.,Madison Dearborn Partners
John Arderne,"John of Gaunt, 1st Duke of Lancaster"
John Arlott,The Guardian
John Augustine Hartford,The Great Atlantic & Pacific Tea Company
John Bellamy Foster,University of Oregon
John Blair Scribner,Charles Scribner's Sons
John Bowman,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
John Brown,Queen Victoria
John Burgmeier,Funimation
John Burns,National League
John C. Cort,Commonweal
John Cantius Garand,Springfield Armory
John Carmichael,Church of Scientology International
John Charles Cutler,United States Public Health Service
John Conomos,University of Sydney
John Creedon,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
John Curley,Pennsylvania State University
John D. Graham,Indiana University
John D. Robinson,Howard University College of Medicine
John Doerr,Kleiner Perkins Caufield & Byers
John Dok Hager,The Seattle Times
John E. Mueller,Ohio State University
John Edgar Park,DisneyToon Studios
John F. Davis,University of Maryland School of Law
John F. Dickson,New York City Police Department
John F. Gregory,PerkinElmer
John F. Marszalek,Mississippi State University
John Ferguson,Sydney
John Francis Banzhaf III,George Washington University Law School
John Frankel,Ff Venture Capital
John G. Bergen,New York City Police Department
John G. Milburn,Carter Ledyard & Milburn
John G. Montijo,California Polytechnic State University
John Garcia,Best Friends Animal Society
John Godfrey Parry-Thomas,Leyland Motors
John Grant Fuller Jr.,Saturday Review (U.S. magazine)
John Hartnett,University of Western Australia
John Henry Livingston,Rutgers University
John Howard Jack Nelson,Los Angeles Times
John Howard Yoder,University of Notre Dame
John Hutton,Donghia
John J. Collins,Yale Divinity School
John J. O,New York City Police Department
John J. Tigert,University of Miami
John J. Valentine,Wells Fargo
John Jeffries,British Army
John Keister,The Art Institute of Seattle
John Kenneth Hilliard,United Artists
John Kerin,American League
John King Davis,Navigator
John L. Wasserman,San Francisco Chronicle
John Laws,Network Ten
John Lenthall,United States Department of the Navy
John Leslie Hotson,Yale University
John Lofland,"University of California, Davis"
John Lucas,Teradata
John Mangos,Seven Network
John Mark Ockerbloom,University of Pennsylvania
John Marley,Bolckow Vaughan
John Mason,New York and Harlem Railroad
John McCleester,Tammany Hall
John McCririck,Channel 4
John McLoughlin,Hudson's Bay Company
John Morrow,Corrymeela Community
John Motson OBE,BBC Sport
John Mozeliak,St. Louis Cardinals
John Musker,Walt Disney Animation Studios
John Neff,The Vanguard Group
John O,Commonwealth Scientific and Industrial Research Organisation
John Ordronaux,University of Vermont
John P. Costas,UBS
John Parsons Jack Wheeler III,Mitre Corporation
John Partridge,A Chorus Line
John Pilfold,Royal Navy
John Quinn,American League
John Rabe,Siemens
John Randolph Hearst,Hearst Corporation
John Resig,Khan Academy
John Rhodes Cobb,"Anning, Chadwick and Kiver"
John Riccitiello,Electronic Arts
John S. Allen,University of South Florida
John Shelton Curtiss,Duke University
John Shulock,Major League Baseball
John Silvester Varley,Barclays
John Simons  (John Potts),Real and Smooth
John Skipper,ESPN
John Stapleton,ITV Breakfast
John Struthers,University of Edinburgh
John Sullivan,Free Software Foundation
John T. Georgopoulos,Sports Grumblings LLC
John T. James Ph.D.,NASA
John Thomas Smith,British Museum
John Torode,BBC
John Towers CBE,MG Rover Group
John Tumpane,Major League Baseball
John Turitzin,Marvel Entertainment
John Tyler Bonner,Princeton University
John Tytell,"Queens College, City University of New York"
John V. Lombardi,University of Massachusetts Amherst
John Vaughan,Bolckow Vaughan
John W. Scherer,Video Professor
John Wallace Diesel,Northrop Grumman
John Waters,The Irish Times
John Webster,University of Aberdeen
John Westlake,University of Cambridge
John William Fletcher,Church of England
John William Fozard,Hawker Siddeley
John William Kendrick,Northern Pacific Railway
John Williams,Manchester City F.C.
John Williams Gunnison,United States Army
John Wilmot,Charles II of England
John Wilson,James II of England
John Winter Jones,British Museum
John Work,Hudson's Bay Company
John Yang,NBC
John Yorke,Channel 4
Johnny Morris,BBC
Johnny Sutton,The Ashcroft Group
Jon Graham Burge,Chicago Police Department
Jon Hall,Linux International
Jon Louis Bentley,Avaya
Jon Sciambi,ESPN
Jon Wiener,"University of California, Irvine"
Jonah Goldberg,National Review
Jonas Rivera,Pixar
Jonathan Brent,Bard College
Jonathan Capehart,The Washington Post
Jonathan Cuneo,"Cuneo Gilbert & LaDuca, LLP"
Jonathan Dory,NASA
Jonathan M. Ansell,Fusion Company
Jonathan Ned Katz,OutHistory
Jonathan Pearce,BBC
Jonathan Uptin,Nine Network
Jonathan Watkins,Ikon Gallery
Jonathan Zittrain,Harvard University
Jordan Banks,Facebook
Jordan Hitch,Bain Capital
Jorge Gallent,San Mig Coffee Mixers
Jorge Sedano,WQAM
Josef Ackermann,Deutsche Bank
Josef Schmid,NASA
Joseph A. Brunton Jr.,Boy Scouts of America
Joseph Armstrong,Great Western Railway
Joseph Benjamin Stenbuck,New York City Fire Department
Joseph Borg,Alabama
Joseph Byron,Byron Company
Joseph DeFilippis,Portland State University
Joseph E. Hasten,ShoreBank
Joseph Esmonde Barry,RBC Dominion Securities
Joseph Hamilton Beattie,London and South Western Railway
Joseph J. Joe Plumeri II,Willis Group
Joseph Joe Coors Sr.,Coors Brewing Company
Joseph Leo Coughlin,Wisconsin State Journal
Joseph Nathaniel French,Albert Kahn (architect)
Joseph Neubauer,Aramark
Joseph Pierce McBride,San Francisco State University
Joseph R. Perella,Perella Weinberg Partners
Joseph Staten,Bungie
Josh Holmes,343 Industries
Josh Levs,CNN
Josiah Lamberson Parrish,Methodist Mission
José Antonio García,Ecos de la Cuenca
José Gerardo Álvarez-Vázquez,Los Negros
José Sáinz Nothnagel,Mexicana de Aviaci%C3%B3n
José Treviño Morales,Los Zetas
Joyce Davidson,CBC Television
Juan Antonio Ansaldo,Spanish Air Force
Juan Mauricio Renold,Faculty of Humanities and Arts
Juan Turner,Manx Radio
Juan Watterson,KPMG
Judd Lynn,The Walt Disney Company
Judith A. Curry,Georgia Institute of Technology
Judith K. Zilczer,Hirshhorn Museum and Sculpture Garden
Judith M. LeBlanc,University of Kansas
Jules Petiet,Chemins de Fer du Nord
Julia Butterfly Hill,Circle of Life Foundation
Julia Serano,"University of California, Berkeley"
Julia Vial,La Red (Chilean TV channel)
Julian Haviland,The Times
Julian Wright,Durham University
Julianne Malveaux,Bennett College
Julie A. Reuben,Harvard Graduate School of Education
Juliette Rossant,Simon & Schuster
Julio de Jesus Radilla Hernandez,South Pacific Cartel
Julius Kruttschnitt,Southern Pacific Transportation Company
Julius Penson Williams,Berklee College of Music
Jullette M. Saussy MD,New Orleans Emergency Medical Services
Jun Mochizuki,Square Enix
Jun Yoshino,Sega
Justice P. Janaki Amma,Kerala High Court
Justin Beckett,Engage Play Technologies
Justin Trottier,Centre for Inquiry Canada
Justin Whitlock Dart Sr.,Walgreens
Jérôme Kerviel,Soci%C3%A9t%C3%A9 G%C3%A9n%C3%A9rale
Jørgine Boomer,Waldorf-Astoria Hotel
Júlio Isidro,R%C3%A1dio e Televis%C3%A3o de Portugal
Július Benčko,Megaupload
Jürgen Roland,Nordwestdeutscher Rundfunk
K. Michael Hays,Harvard University
K. Ullas Karanth,Wildlife Conservation Society
Kahlil Byrd,StudentsFirst
Kaj Sigurd Ademar Arnö,Kaj Arn%C3%B6
Kang Kyung-wha,United Nations Office for the Coordination of Humanitarian Affairs
Kannon Shanmugam,Williams & Connolly
Kanon Kasuga,Nippon Television
Kara Magsanoc-Alikpala,CNN
Karamat Ullah Chaudry,National Engineering Services Pakistan
Karen E. Boroff,Seton Hall University
Karen Kohanowich,National Oceanic and Atmospheric Administration
Karen Koster,TV3 (Ireland)
Karen M. Czarnecki,United States Department of Labor
Karen McAloon,HGTV
Kari Blackburn,BBC
Karl Auerbach,InterWorking Labs
Karl Brandt,Adolf Hitler
Karl Friedrich Rapp,Rapp Motorenwerke
Karla Jessen Williamson,University of Saskatchewan
Karunaratne Abeysekera,Sri Lanka Broadcasting Corporation
Kate Brown,United States Senate
Kate Thornton,ITV (TV network)
Kate Walsh,Channel 5 (UK)
Katherine Allen,Amnesty International
Katherine M. Rothman,KMR Communications
Kathleen Murphy,Fidelity Investments
Kathleen Quinn Abernathy,Frontier Communications
Kathryn Thomas,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Kathy Wilkes,"St Hilda's College, Oxford"
Katie Burkhart,United States women's national softball team
Katulu Ravi Kumar,Indian Army
Kay Sievers,Red Hat
Kaye Adams,BBC
Kazuo Tsukuda,Mitsubishi Heavy Industries
Kazutoki Kono,Namco Bandai Games
Kei Aoyama,Shogakukan
Keiichi Ishizaka,Warner Music Group
Keith Allan,Monash University
Keith Bergelt,Open Invention Network
Keith Bostic,"University of California, Berkeley"
Keith E. Gottfried,Alston & Bird
Keith L. Moore,University of Toronto
Keith Packard,Intel
Kel Richards,2CH
Kelly Lange,KNBC
Ken Goldstein,The Six Shooter Company
Ken Sutcliffe,Nine Network
Kendrick Moxon,Moxon & Kobrin
Kenneth A. May,United Parcel Service
Kenneth Macdonald Beaumont,International Civil Aviation Organization
Kenneth Massey,Carson%E2%80%93Newman College
Kenneth R. Rutherford,James Madison University
Kenneth W. Bilby,RCA
Kenny McClinton,Ulster Defence Regiment
Keri Davies,BBC
Kerry O,Australian Broadcasting Corporation
Keshav Dattatreya Nayak,Defence Research and Development Organisation
Kevin Gentry,Koch family foundations
Kevin Gillespie,Saint Joseph's University
Kevin Harvey,Benchmark (venture capital firm)
Kevin Jackson,The Australian Ballet
Kevin Marks,BT Group
Kevin Padian,"University of California, Berkeley"
Khalil Al Hindawi خليل الهنداوي,Aleppo
Kike Posada,Caracol Radio
Kim Tae-Ho,Munhwa Broadcasting Corporation
Kim Watkins,Network Ten
King Camp Gillette,Gillette (brand)
Kinoko Nasu,Type-Moon
Kiran Seth,Indian Institute of Technology Delhi
Kirill Dmitriev,Russian Direct Investment Fund
Kirsteen O,TV3 (Ireland)
Kirsten O,BBC
Kirtley Fletcher Mather,Harvard University
Kitty Genovese,"Hollis, Queens"
Kjell Bloch Sandved,National Museum of Natural History
Klariz Laurelle Magboo,Radio Mindanao Network
Klaus-Peter Müller,Commerzbank
Kong Qingdong,Peking University
Kostas Gouliamos,European University Cyprus
Krishna Prasad (ಕೃಷ್ಣ ಪ್ರಸಾದ ),Outlook (magazine)
Kumaraswamy Pulavar,Madurai Tamil Sangam
Kumble R. Subbaswamy,University of Miami
Kurt Weiland,Church of Scientology International
Kwatsi Alibaruho,NASA
Kwesi Abotsia Dickson,University of Ghana
Kyung Lah,CNN
L. Brent Bozell III,Parents Television Council
L. Michael White,University of Texas at Austin
L. Rafael Reif,Massachusetts Institute of Technology
L. W. Chip Robert Jr.,Robert and Company
Lammot du Pont,DuPont
Lanny Harris,National League
Lara Logan,CBS News
Larry Gogan,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Larry McCormick,Tribune Broadcasting
Larry Napp,American League
Larry Probst,Electronic Arts
Lars Larson,Compass Media Networks
Lassa Francis Lawrence Oppenheim,University of Cambridge
Laura Elizabeth Brown (née Tobin),ITV Breakfast
Laura Fitton,HubSpot
Laura J Lederer,Georgetown University Law Center
Laura Woods,TV3 (Ireland)
Lauren Flaherty,Juniper Networks
Lauren LaPonzina,WPTV-TV
Laurence Boccolini,TF1
Laurence Boschetto,Draftfcb
Laurence Ferrari,D8 (TV channel)
Laverne Antrobus,Tavistock Clinic
Lawrence B. Harkless          =,Western University of Health Sciences
Lawrence B. Prior III,BAE Systems Inc.
Lawrence Stager,Harvard University
Lawrence York Spear,General Dynamics Electric Boat
LeRoy E. Cain,NASA
Leah Culver,Convore
Lee Fyfe,National League
Lee Kim Lai,Singapore Police Force
Lee Krum,Krum Corporate
Lee McKenzie,BBC
Lee Sang-Mook,Seoul National University
Leena Nair,Unilever
Leigh Sales,Australian Broadcasting Corporation
Leighton Wilson Hazelhurst Jr.,"Aeronautical Division, U.S. Signal Corps"
Leila Feinstein,KTLA
Leisa Goodman,Church of Scientology International
Lennart Poettering,Red Hat
Leo Macdonell,Detroit Times
Leo Villa,Malcolm Campbell
Leo van der Goot,Omroepvereniging VARA
Leon Belleth,Radio Ceylon
Leon Byner,5AA
Leon D. Black,Drexel Burnham Lambert
Leonard Bloomfield,Yale University
Leonard J. Arrington,Utah State University
Leonard Jay Shustek,Stanford University
Leonard Max Adleman,University of Southern California
Leonard Parkin,ITN
Leonard R. Brand,Loma Linda University
Leonard Singer,Isle of Man Government
Leonard Sweet,Drew University
Leonid Petrovich Telyatnikov,Ministry of Internal Affairs (Russia)
Les Colquhoun,Vickers-Armstrongs
Leslie Ann Sykes,KABC-TV
Leslie Benzies,Rockstar North
Leslie Fagen,"Paul, Weiss, Rifkind, Wharton & Garrison"
Lew Baker,Tammany Hall
Lew Cirne,New Relic
Lewis J. Feldman,"University of California, Berkeley"
Lewis Ranieri,Salomon Brothers
Lewis Round Wilson,University of North Carolina
Lewis Webster Jones,University of Arkansas
Lewis Wolpert,University College London
Li Yong (李咏),China Central Television
Libby Houston,University of Bristol
Lila Abu-Lughod,Columbia University
Liliana Mayo,Centro Ann Sullivan del Per%C3%BA
Lin Homer,HM Revenue and Customs
Lincoln Joseph Steffens,The American Magazine
Linda B. Denham,Kenner Products
Lindis Percy,National Health Service
Lino Rulli,Sirius XM Radio
Linus Torvalds,Linux Foundation
Lionel Cassan,France 2
Lionel Guérin,Transavia.com France
Lionel Trilling,Columbia University
Lisa Burke,Sky News
Lisa Daftari,Fox News Channel
Lisa Glasberg,Sirius XM Radio
Lloyd Monserratt,Los Angeles City Council
Lodewijk Petrus Alfons baron Campo,C&A
Lolo Soetoro,Unocal Corporation
Lord Byron,National League
Lorena Bogza,Pro TV
Lorenzo Zambrano,Cemex
Lorne Balfe,Remote Control Productions
Lorraine Davidson,The Times
Lorraine Keane,TV3 (Ireland)
Lorraine Newman,BBC
Lorry I. Lokey,Business Wire
Lou Jorda,National League
Lou Kolls,American League
Louie Spence,Pineapple Dance Studios
Louie del Carmen,DreamWorks Animation
Louis Alexander Fagan,British Museum
Louis Cordier,Mus%C3%A9um national d'histoire naturelle
Louis Feldman,Yeshiva University
Louis Hutchinson Galbreath,Winona State University
Louis Moore Bacon,Moore Capital Management
Louis Orth Kelso,Kelso & Company
Louis Pailhas,Directorate General for Civil Aviation (France)
Louis Rayfield Purnell Sr.,National Museum of Natural History
Louis S. Warren,"University of California, Davis"
Louis Walsh,Syco
Lovemore Madhuku,University of Zimbabwe
Lu Parker,KTLA
Luc Appermont,Vtm
Lucas Dolega,European Pressphoto Agency
Lucian Jayasuriya,Cabinet of Sri Lanka
Lucien Campeau,Universit%C3%A9 de Montr%C3%A9al
Lucius Morris Beebe,The San Francisco Examiner
Lucy Alexander,BBC
Lucy Johnston,Daily Express
Lucy Kennedy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Lucy Suchman,Lancaster University
Ludwig Greiner,Prince Ferdinand of Saxe-Coburg and Gotha
Luke Smith,Bungie
Lynda Bellingham,ITV (TV network)
Lynn D. Stewart,Hooters
Lynn S. Kimsey,"University of California, Davis"
M. Lynne Markus,Bentley University
Mac King,Harrah's Las Vegas
Maciej Stachowiak,Apple Inc.
Madeline Weeks,Cond%C3%A9 Nast Publications
Magdalena Roze,Network Ten
Mahesh Rangarajan,University of Delhi
Mai Martinez,WOXR
Major Rohde Hawkins,Privy council
Malcolm David Ross,"Washington, D.C."
Malcolm Richard Wilkey,United States Court of Appeals for the District of Columbia Circuit
Malik Rahim,Common Ground Collective
Mallika Srinivasan,TAFE Tractors
Man Singh Tyagi,University of British Columbia
Manfred Bukofzer,"University of California, Berkeley"
Manfred F.R. Kets de Vries,INSEAD
Manju Jaidka,"Panjab University, Chandigarh"
Manny Gonzalez,Major League Baseball
Manuel Buendía,Exc%C3%A9lsior
Manuel Garcia-Duran,Brasilinvest
Manuel Torres Félix,Joaqu%C3%ADn Guzm%C3%A1n Loera
Mara Keisling,National Center for Transgender Equality
Marc Brown,KOLO-TV
Marc Chase,Tribune
Marc Drillech,IONIS Education Group
Marc Edwards,Virginia Tech
Marc Houalla,Directorate General for Civil Aviation (France)
Marc Lamont Hill,Columbia University
Marc Menant,Direct 8
Marc Reagan,NASA
Marc Sellam,IONIS Education Group
Marcel Wanders,Target Corporation
Marcello Truzzi,Eastern Michigan University
Marcia C. Inhorn,Yale University
Marcia C. Linn,"University of California, Berkeley"
Marco Iansiti,Harvard Business School
Marcus Albert Foster,Oakland Unified School District
Marcus Bentley,Channel 5 (UK)
Marek Siemek,University of Warsaw
Margaret A. Edwards,Enoch Pratt Free Library
Margaret Hayes Grazier,Wayne State University
Margaret Ingels,Carrier Corporation
Margaret Lavinia Anderson,"University of California, Berkeley"
Margaret Pomeranz AM,Australian Broadcasting Corporation
Margaret Storrs Grierson,Smith College
Margi Clarke,City Talk 105.9
Margunn Bjørnholt,Work Research Institute
Mari Hulman George,Indianapolis Motor Speedway
Maria Campbell,University of Saskatchewan
Maria Celeste Arrarás,Telemundo
Maria Mandel,Ravensbr%C3%BCck concentration camp
Maria Molina,Fox News Channel
Maria Quiban,KTTV
Maria das Graças Silva Foster,Petrobras
Marian Finucane,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Mariane Pearl,Glamour (magazine)
Marie-Ange Nardi,TF1
Marilyn Lake,La Trobe University
Mariló López Garrido,PRISA
Marimuthu Yoganathan,Tamil Nadu State Transport Corporation
Marina Hyde,The Guardian
Marina Inoue,Aniplex
Marina von Neumann Whitman,University of Michigan
Mario Arturo Acosta Chaparro,Secretariat of National Defense (Mexico)
Marissa Mayer,Yahoo!
Marjorie Scardino,Pearson PLC
Marjorie Williams,Vanity Fair (magazine)
Mark Arnold-Forster,The Guardian
Mark Crowe,Two Guys from Andromeda
Mark Iddon,Freelancer
Mark Kermode,The Observer
Mark Kriegsman,Veracode
Mark Kriski,KTLA
Mark Pittman,Bloomberg Television
Mark Pollicott,University of Warwick
Mark Rosen,Euro-Pro Operating LLC
Mark Speight,BBC
Mark Thomas,New Statesman
Mark Tucker,American International Assurance
Mark Webster,ITN
Markus Neteler,Fondazione Edmund Mach
Marshall M. Criser Jr.,University of Florida
Martha Brill Olcott,"Washington, D.C."
Martijn Kajuiter,Cliff House Hotel
Martin Blessing,Commerzbank
Martin Cooper,Motorola
Martin Eidelberg,Rutgers University
Martin King,Today FM
Martin Seligman,University of Pennsylvania
Martin Tyler,The Sports Network
Martin van Beynen,The Press
Marty Morrissey,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Marty Moss-Coane,WHYY-FM
Marty Whelan,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Marvelous Alejo,TV5 (Philippines)
Mary Calderone,Sexuality Information and Education Council of the United States
Mary Kennedy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Mary Kingston,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Mary Lee Woods,Telecommunications Research Establishment
Mary Livermore,United States Sanitary Commission
Mary Nightingale,ITV (TV network)
Mary Paul Munn Allez,American Aid Society
Mary Ritter Beard,Congressional Union
Mary Rosamund Haas,"University of California, Berkeley"
Mary Tsukamoto,Elk Grove Unified School District
Mary-Jane Foster,University of Bridgeport
María Isabella Cordero Martínez,CANACO
Masakazu Katsura,Shueisha
Masao Doi,Nagoya University
Masood Ashraf Raja,University of North Texas
Mathew D. Staver,Liberty University School of Law
Mathew Horne,BBC
Mathieu Ferland,Ubisoft Montreal
Mathis Wackernagel,Global Footprint Network
Matt Allwright,BBC
Matt Barrie,Freelancer.com
Matt Cohler,Benchmark (venture capital firm)
Matt Doran,Network Ten
Matt Hullum,Rooster Teeth Productions
Matt Lewis,The Daily Caller
Matthew Crouch,Trinity Broadcasting Network
Matthew Gibb,Television New Zealand
Matthew Mendelsohn,University of Toronto
Matthew Stirling,Hull and Barnsley Railway
Matthew White,Seven Network
Matthew Wright,The Sun (United Kingdom)
Matthias A. Bertsch,"University of Music and Performing Arts, Vienna"
Matthias Ettrich,Nokia
Matthias Kalle Dalheimer,Klar%C3%A4lvdalens Datakonsult AB
Maura Derrane,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Maureen Cathryn Harriet Falck,Sveriges Television
Maurice Flanagan,The Emirates Group
Maurice Flynn,East Midlands Today
Maurice Lebel,Laval University
Maurice Meisner,University of Wisconsin%E2%80%93Madison
Max Blokzijl,Algemeen Handelsblad
Max D. Hopper,American Airlines
Max Friz,BMW
Max Ilgner,IG Farben
Max Kase,New York Journal-American
Max Reinhardt,The Bodley Head
Max Tau,Aschehoug
Max Valiquette,Max Valiquette
Maya Jackson Randall,The Wall Street Journal
Maya Nasser,Press TV
Megan Henderson,KTLA
Megyn Kelly,Fox News Channel
Meir Shamgar,Supreme Court of Israel
Mel Rosenberg,Tel Aviv University
Mel Steiner,National League
Melanie Hall,Royal United Hospital
Melissa Doyle,Seven Network
Melissa Hathaway,Booz Allen Hamilton
Melissa Stark,NFL Network
Melville Elijah Stone Sr.,Chicago Daily News
Menachem Cohen,Bar-Ilan University
Menachem Elon,Supreme Court of Israel
Meredith Knox Gardner,National Security Agency
Merlyn Anthony,American League
Merrill Leroy Ellis,University of North Texas College of Music
Merve Safa Kavakçı,George Washington University
Mervyn Jayasuriya,Radio Ceylon
Meyer Malka,Ribbit Capital
Miangul Adnan Aurangzeb,China
Micael Dahlén,Stockholm School of Economics
Michael Absalom,Eurosport
Michael Allen Geist,University of Ottawa
Michael Back,Herbert Smith Freehills
Michael Barkun,Syracuse University
Michael Barone,The Washington Examiner
Michael Blakey,College of William & Mary
Michael Brunson,ITN
Michael C. Reed,Duke University
Michael C. Seto,Royal Ottawa Mental Health Centre
Michael Cockerill,Fox Sports (United States)
Michael Collie,BBC News
Michael Crick,Channel 4 News
Michael D. Leinbach,NASA
Michael Daniels,Liverpool John Moores University
Michael Duke,Walmart
Michael E. Mann,Pennsylvania State University
Michael Eric Dyson Ph.D.,Georgetown University
Michael Feldman,The Glover Park Group
Michael Garfield Smith,Yale University
Michael Goldsmith,Brigham Young University
Michael Gough,Hammer Film Productions
Michael H. Mealling,Masten Space Systems
Michael Helton,NASCAR
Michael J. Todd,Greater Manchester Police
Michael Jackson,Harvard Divinity School
Michael James O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Michael Kay,YES Network
Michael Kimmel,Stony Brook University
Michael Kranish,The Boston Globe
Michael Lee Wesch,Kansas State University
Michael Lerner,Tikkun (magazine)
Michael M. Sears,McDonnell Aircraft
Michael Martin,Boston University
Michael Morhaime,Blizzard Entertainment
Michael Murphy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Michael P. Wellman,University of Michigan
Michael Patsalos-Fox,McKinsey & Company
Michael Polanyi,University of Manchester
Michael R. Eisenson,Charlesbank Capital Partners
Michael Raymond Mainelli,Z/Yen
Michael Sheahan,Herald Sun
Michael Simms,Tux Games
Michael Slive,Southeastern Conference
Michael Spurr,National Offender Management Service
Michael Thomas Lynn,Juniper Networks
Michael Thwaites,Australian Security Intelligence Organisation
Michael Usher,Nine Network
Michael W. Vranos,"Kidder, Peabody & Co."
Michael-Ryan Fletchall,Experience Media Studios
Michaela McAreavey,"St Patrick's Academy, Dungannon"
Michaela Pereira,TechTV
Michel Bacos,Air France
Michel Combes,Vodafone
Michel Drucker,France 2
Michele Ruiz,KTLA
Michelle Doherty,Phantom FM
Michelle Tuzee,WSVN
Mie Kumagi,Sega
Miguel Angel Caro Quintero,Sonora Cartel
Miguel Angel Galluzzi,Piaggio
Miguel Estrada,"Gibson, Dunn & Crutcher"
Miguel Nazar Haro,Federal government of Mexico
Miguel de Icaza,Xamarin
Miguel Ángel Treviño Morales,Los Zetas
Mihai Bălan,President of Moldova
Mike Dilger,BBC
Mike Gallagher,Salem Radio Network
Mike Hayes,Sega
Mike Ingham MBE,BBC Sport
Mike Mahoney,National League
Mike Singleton,Telecomsoft
Mike Vanvleet,Major League Baseball
Mildred Gillars,Reichs-Rundfunk-Gesellschaft
Milton H. Hallman,Louisiana State University
Milton J. Rosenberg,University of Chicago
Minhaj al-Siraj Juzjani,Mamluk Sultanate (Delhi)
Miranda Kennedy,NPR
Miranda Krestovnikoff,BBC
Mircea Dumitrescu,Bucharest
Miriam O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Miskel Spillman,Lorne Michaels
Mitch Lasky,Benchmark (venture capital firm)
Mitchell S. Steir,"Studley, Inc."
Mitsuhisa Ishikawa,Tatsunoko Production
Miyu Honda,Theater Academy
Modesto Montoya,Peru
Mohamed Ibrahim Mostafa,Ciber
Mohammad Abubakar Durrani محمد ابوبکر درانی ‎,Pakistan Customs
Mohd Zabri Bin Abdul Hamid,Royal Malaysia Police
Molly Meldrum,Seven Network
Monica Woods,KXTV
Monika Hilmerová,Slovak National Theatre
Monika Schultz,Intertek
Monroe Sweeney,National League
Montague Druitt,"Blackheath, London"
Morgan Chu,Irell & Manella
Morgan Kelly,University College Dublin
Moritz Schreber,Leipzig University
Morris Fishbein,JAMA (journal)
Mort Rogers,National Association of Professional Base Ball Players
Moses Gaster,University of Oxford
Motomu Kiyokawa,Tokyo Actor's Consumer's Cooperative Society
Muhammad Abdullah Noorani,Aleemiyah Institute of Islamic Studies
Musa Khankhel,GEO News
Mustafa Pultar,Bilkent University
Myles Dungan,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Myron Sharaf,Tufts University School of Medicine
Mícheál Ó Muircheartaigh,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Nabi Saleh,Gloria Jean's Coffees
Nahum Stetson,Bridgewater Iron Works
Naina Lal Kidwai,HSBC
Namir Noor-Eldeen,Reuters
Nan Aron,Alliance for Justice
Nancy Bauer,Tufts University
Natalia Cruz.,Univision
Natalie Barr,Seven Network
Natalya Timakova,Presidential Administration of Russia
Natasha Kaplinsky,ITN
Nathalie Chung,R%C3%A9seau de l'information
Nathan Cohen,Toronto Star
Nathaniel S. Borenstein,Mimecast
Natálie Kocábová,Screenwriter
Naula Carey,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Navid Khonsari,Rockstar Games
Neal Barnard,Physicians Committee for Responsible Medicine
Neal Gabler,University of Southern California
Ned Colletti,Los Angeles Dodgers
Ned Kock,Texas A&M International University
Nedā Āghā-Soltān,Travel agency
Neel Kashkari,PIMCO
Neil Funk,National Basketball Association
Neil Lyndon,The Sunday Telegraph
Neil Mitchell,3AW
Nell Irvin Painter,Princeton University
Nellie Kershaw,Turner & Newall
Nels Johnson,Century tower clocks
Nelson Joosuk Chai,CIT Group
Nelson Kumah,Absolute Radio
Newman Ivey White,Duke University
Nicholas Chiorazzi,The Feinstein Institute for Medical Research
Nicholas Jones,BBC
Nicholas Lane,Charles I of England
Nicholas Louis Bissell Jr.,"Somerset County, New Jersey"
